0.000000138	0.69	1.09
0.000000141	0.68	1.15
0.000000144	0.66	1.22
0.000000148	0.66	1.29
0.000000151	0.65	1.36
0.000000155	0.66	1.44
0.000000159	0.66	1.51
0.000000163	0.67	1.9
0.000000168	0.68	1.67
0.000000172	0.7	1.75
0.000000177	0.73	1.82
0.000000182	0.76	1.89
0.000000188	0.78	1.97
0.000000194	0.81	2.04
0.0000002	0.82	2.11
0.000000207	0.84	2.2
0.00000021	0.85	2.24
0.000000214	0.86	2.29
0.000000218	0.87	2.34
0.000000221	0.88	2.4
0.000000225	0.9	2.45
0.00000023	0.91	2.52
0.000000234	0.94	2.58
0.000000238	0.97	2.64
0.000000243	1	2.7
0.000000248	1.03	2.75
0.000000253	1.06	2.81
0.000000258	1.09	2.86
0.000000264	1.11	2.91
0.00000027	1.13	2.97
0.000000276	1.14	3.04
0.000000282	1.16	3.13
0.000000288	1.18	3.21
0.000000295	1.21	3.31
0.000000302	1.25	3.42
0.00000031	1.29	3.53
0.000000318	1.35	3.64
0.000000326	1.41	3.77
0.000000335	1.5	3.9
0.000000344	1.6	4.03
0.000000354	1.71	4.16
0.000000365	1.84	4.3
0.000000376	2	4.43
0.000000387	2.18	4.55
0.0000004	2.4	4.64
0.000000413	2.64	4.69
0.000000428	2.87	4.64
0.000000443	2.99	4.59
0.000000459	3.06	4.59
0.000000477	3.14	4.66
0.000000496	3.27	4.77
0.000000517	3.44	4.88
0.000000528	3.56	4.94
0.000000539	3.69	4.97
0.000000551	3.82	4.99
0.000000564	3.94	5
0.000000577	4.05	5.03
0.00000059	4.21	5.09
0.00000062	4.61	5.06
0.000000653	4.96	4.78
0.000000689	5.1	4.45
0.000000729	5.12	4.22
0.000000751	5.11	4.11
0.000000775	5.08	4.03
0.0000008	5.04	3.94
0.000000827	4.99	3.89
0.000000855	4.93	3.83
0.000000886	4.86	3.79
0.000000918	4.77	3.75
0.000000954	4.66	3.72
0.000000992	4.51	3.68
0.00000103	4.28	3.66
0.00000108	4	3.73
0.00000113	3.69	3.91
0.00000118	3.41	4.22
0.00000124	3.17	4.59
0.00000131	2.97	5.03
0.00000138	2.82	5.54
0.00000146	2.73	6.12
0.00000155	2.73	6.71
0.00000165	2.77	7.33
0.00000177	2.82	7.99
0.00000191	2.9	8.71
0.00000207	2.98	9.54
0.00000225	3.09	10.5
0.00000248	3.27	11.63
0.00000276	3.54	12.96
